title,url,raw_date,published_at,language,summary,image_url,category,source,player_name,from_club,to_club,transfer_fee,status,sentiment,external_key,league,national_team,fee_numeric
Papers: Romero open to joining Arsenal but Spurs resist,https://www.skysports.com/football/news/12040/13571259/cristian-romero-open-to-joining-arsenal-but-tottenham-adamant-their-defender-will-not-cross-the-north-london-divide-paper-talk,"Sat, 08 Aug 2026 23:15:00 BST",2026-08-08T23:56:00.724088,en,The top stories and transfer rumours from Sunday's newspapers...,https://e0.365dm.com/26/07/1920x1080/skysports-paper-talk-sky-sports-news_7311195.png?20260731134338,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,Arsenal,Tottenham,Non communiqué,RUMEUR 📰,Bullish,papersromeroopentojoiningarsenalbutspursresist,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Wissa double gives Newcastle boss Jaissle winning start at 10-man Valencia,https://www.skysports.com/football/news/12040/13571236/valencia-1-2-newcastle-yoane-wissas-double-gives-matthias-jaissle-winning-start-as-anthony-elanga-stretchered-off,"Sat, 08 Aug 2026 22:26:00 BST",2026-08-08T23:56:00.724546,en,Substitute Yoane Wissa scored twice to give Matthias Jaissle a winning start as Newcastle boss with a 2-1 comeback pre-season win at 10-man Valencia.,https://e0.365dm.com/26/08/1920x1080/skysports-wissa-valencia-yoane_7317227.jpg?20260808221634,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,Newcastle,Valence CF,Non communiqué,RUMEUR 📰,Neutre,wissadoublegivesnewcastlebossjaisslewinningstartat10manvalen,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Wolves overwhelm Bradford in emphatic away victory,https://www.skysports.com/watch/video/13571231/bradford-bulls-4-42-warrington-wolves-super-league-highlights,"Sun, 09 Aug 2026 00:00:00 BST",2026-08-08T23:56:00.724931,en,Highlights of the Super League clash between Bradford Bulls and Warrington Wolves as Matty Ashton scored twice in a dominant 42-4 victory for the visitors.,https://e2.365dm.com/26/08/1920x1080/skysports-wolves-bradford_7317178.jpg?20260808210836,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,,Wolverhampton,Non communiqué,RUMEUR 📰,Neutre,wolvesoverwhelmbradfordinemphaticawayvictory,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Wigan overpower Toulouse to close gap on leaders,https://www.skysports.com/watch/video/13571216/wigan-warriors-48-18-toulouse-olympique-super-league-highlights,"Sun, 09 Aug 2026 00:00:00 BST",2026-08-08T23:56:00.725258,en,Highlights of the Super League clash between Wigan Warriors and Toulouse Olympique.,https://e2.365dm.com/26/08/1920x1080/skysports-wigan-toulouse_7317173.jpg?20260808210421,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,,Toulouse FC,Non communiqué,RUMEUR 📰,Neutre,wiganoverpowertoulousetoclosegaponleaders,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
'Good signs' for Man Utd as Mbeumo scores in encouraging draw with PSG,https://www.skysports.com/football/paris-saint-germain-vs-manchester-united/report/555766,"Sat, 08 Aug 2026 18:00:00 BST",2026-08-08T23:56:00.726189,en,"Bryan Mbeumo earned Man Utd a 1-1 draw with Paris St-Germain in Gothenburg, a pre-season friendly which left boss Michael Carrick encouraged by the ""good signs"" from his side.",https://e0.365dm.com/26/08/1920x1080/skysports-mbeumo-united-manchester_7316888.jpg?20260808164039,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,Manchester United,PSG,Non communiqué,RUMEUR 📰,Neutre,goodsignsformanutdasmbeumoscoresinencouragingdrawwithpsg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Wissa's double gives Newcastle's Jaissle winning start at 10-man Valencia LIVE!,https://www.skysports.com/football/valencia-vs-newcastle-united/live/568647,"Sat, 08 Aug 2026 19:01:00 BST",2026-08-08T23:56:00.726937,en,Wissa's double gives Newcastle's Jaissle winning start at 10-man Valencia LIVE!,https://e0.365dm.com/26/08/1920x1080/skysports-nick-woltemade-newcastle_7317152.jpg?20260808203322,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,Newcastle,Valence CF,Non communiqué,RUMEUR 📰,Neutre,wissasdoublegivesnewcastlesjaisslewinningstartat10manvalenci,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
Huddersfield Giants to leave home for Dewsbury amid major investment,https://www.skysports.com/rugby-league/news/12040/13570935/huddersfield-giants-moving-to-dewsbury-super-league-side-switching-home-from-2027-season-onwards,"Sat, 08 Aug 2026 15:09:00 BST",2026-08-08T23:56:00.727774,en,Betfred Super League side Huddersfield Giants have announced they are to leave the town and move to Dewsbury for the 2027 season onwards.,https://e2.365dm.com/26/08/1920x1080/skysports-huddersfield-giants_7316663.jpg?20260808132210,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Huddersfield Giants,,,Non communiqué,RUMEUR 📰,Neutre,huddersfieldgiantstoleavehomefordewsburyamidmajorinvestment,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
"Burnley edge win on penalties, West Ham through in Carabao Cup first round",https://www.skysports.com/football/news/12040/13570969/carabao-cup-burnley-edge-win-on-penalties-west-ham-norwich-watford-through,"Sat, 08 Aug 2026 17:05:00 BST",2026-08-08T23:56:00.729219,en,Kyle Walker struck the winning penalty as Burnley edged out Notts County 4-3 in a shoot-out to reach the Carabao Cup second round after a 1-1 draw at Turf Moor.,https://e2.365dm.com/26/08/1920x1080/skysports-burnley-kyle-walker_7317041.jpg?20260808182011,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sky Sports Transfer Centre,Joueur Star,,West Ham,Non communiqué,RUMEUR 📰,Neutre,burnleyedgewinonpenaltieswesthamthroughincarabaocupfirstroun,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,International 🌍,0.0
"Mercato: ""Je pense que la situation est claire"": Diego Simeone répète que Julian Alvarez n'est pas à vendre",https://rmcsport.bfmtv.com/football/transferts/mercato-je-pense-que-la-situation-est-claire-diego-simeone-repete-que-julian-alvarez-n-est-pas-a-vendre_AV-202608080197.html,"Sat, 08 Aug 2026 14:19:23 GMT",2026-08-08T23:56:00.723048,fr,"En marge d'un match de présaison face à Manchester City à Séoul (Corée du Sud), l'entraîneur de l'Atlético de Madrid, Diego Simeone, a clarifié une fois de plus la position du club sur Julian Alvarez. Même s'il est courtisé par les plus grosses écuries d'Europe, notamment le FC Barcelone, l'attaquant argentin ne partira pas.",https://io-fsly-bfmtv.cdn.nextradiotv.com/QPbf2d_JuxmkzB9JzjvGIkFqml4=/0x106:2048x1258/800x0/images/Julian-Alvarez-lors-d-Atletico-Barca-en-quart-de-finale-retour-de-Ligue-des-champions-le-14-avril-2026-2309374.jpg,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,RMC Sport Mercato,Julian Alvarez,Atlético de Madrid,Manchester City,Non communiqué,RUMEUR 📰,Neutre,mercatojepensequelasituationestclairediegosimeonerépètequeju,Premier League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Argentine 🇦🇷,0.0
"Mercato: tout juste parti de Bordeaux, Rio Mavuba devrait rebondir à Lille",https://rmcsport.bfmtv.com/football/transferts/mercato-tout-juste-parti-de-bordeaux-rio-mavuba-devrait-rebondir-a-lille_AV-202608080175.html,"Sat, 08 Aug 2026 12:38:09 GMT",2026-08-08T23:56:00.729764,fr,"Selon les informations de Foot Amateur et Sud Ouest, Rio Mavuba est sur le point de rejoindre le Lille après avoir quitté son poste d'entraîneur principal des Girondins de Bordeaux, ce jeudi 6 août.",https://io-fsly-bfmtv.cdn.nextradiotv.com/DAz-u3nG8KL-Nd_YdJ9dsfyHUhs=/0x39:2048x1191/800x0/images/Rio-Mavuba-sur-le-banc-de-Bordeaux-le-11-avril-2026-2330168.jpg,Ligue 1 🇫🇷,RMC Sport Mercato,Rio Mavuba,,LOSC Lille,Non communiqué,RUMEUR 📰,Neutre,mercatotoutjustepartidebordeauxriomavubadevraitrebondiràlill,Ligue 1 🇫🇷,International 🌍,0.0
